Active,Confirmed,Country/Region,Date,Deaths,Lat,Long,Province/State,Recovered,WHO Region
0,0,Afghanistan,2020-01-22,0,33.93911,67.709953,,0,Eastern Mediterranean
0,0,Albania,2020-01-22,0,41.1533,20.1683,,0,Europe
0,0,Algeria,2020-01-22,0,28.0339,1.6596,,0,Africa
0,0,Andorra,2020-01-22,0,42.5063,1.5218,,0,Europe
0,0,Angola,2020-01-22,0,-11.2027,17.8739,,0,Africa
0,0,Antigua and Barbuda,2020-01-22,0,17.0608,-61.7964,,0,Americas
0,0,Argentina,2020-01-22,0,-38.4161,-63.6167,,0,Americas
0,0,Armenia,2020-01-22,0,40.0691,45.0382,,0,Europe
0,0,Australia,2020-01-22,0,-35.4735,149.0124,Australian Capital Territory,0,Western Pacific
0,0,Australia,2020-01-22,0,-33.8688,151.2093,New South Wales,0,Western Pacific
0,0,Australia,2020-01-22,0,-12.4634,130.8456,Northern Territory,0,Western Pacific
0,0,Australia,2020-01-22,0,-27.4698,153.0251,Queensland,0,Western Pacific
0,0,Australia,2020-01-22,0,-34.9285,138.6007,South Australia,0,Western Pacific
0,0,Australia,2020-01-22,0,-42.8821,147.3272,Tasmania,0,Western Pacific
0,0,Australia,2020-01-22,0,-37.8136,144.9631,Victoria,0,Western Pacific
0,0,Australia,2020-01-22,0,-31.9505,115.8605,Western Australia,0,Western Pacific
0,0,Austria,2020-01-22,0,47.5162,14.5501,,0,Europe
0,0,Azerbaijan,2020-01-22,0,40.1431,47.5769,,0,Europe
0,0,Bahamas,2020-01-22,0,25.025885,-78.035889,,0,Americas
0,0,Bahrain,2020-01-22,0,26.0275,50.55,,0,Eastern Mediterranean
0,0,Bangladesh,2020-01-22,0,23.685,90.3563,,0,South-East Asia
0,0,Barbados,2020-01-22,0,13.1939,-59.5432,,0,Americas
0,0,Belarus,2020-01-22,0,53.7098,27.9534,,0,Europe
0,0,Belgium,2020-01-22,0,50.8333,4.469936,,0,Europe
0,0,Benin,2020-01-22,0,9.3077,2.3158,,0,Africa
